"year","Adrar","Assaba","Brakna","Dakhlet Nouadhibou","Gorgol","Guidimaka","Hodh ech Chargui","Hodh el Gharbi","Inchiri","Nouakchott","Tagant","Tiris Zemmour","Trarza"
1983,16.1689116445226,181.595420919393,94.6008950869489,12.7589558865389,209.644188930224,287.758970426335,63.7272574219477,152.329487609915,17.7777533843606,39.0489795721915,28.239206805728,22.8782747656347,60.0992296312074
1984,33.8741935395014,196.151896409697,106.196320264368,4.41179117624766,221.002179225947,302.589547656023,78.4060670248449,163.134016547967,16.0427735024675,28.8040816738289,45.3817185326454,30.4314620340785,57.1497351951291
1985,32.8900029082723,189.856383032456,135.712829466744,15.6703870340605,241.317796694561,332.477067195146,81.6207128306227,170.44185127742,39.886205640722,70.0622449441224,52.5905200629509,8.8167209938352,100.009244116657
1986,41.0639857617563,224.252312703115,179.643361489136,37.5405940886396,261.775423803933,336.09984400436,97.1728044485595,178.506479319531,77.6817782619526,104.189796164328,53.7913723843194,31.9421646755571,145.165262388821
1987,37.2816187160426,189.550323768906,117.117503744639,35.7706570650252,230.996125952961,331.397660002415,73.1408419407304,160.710148770652,63.1930845526442,95.4040816532714,41.0069229108165,44.469334779245,109.371449191229
1988,28.4671461771388,210.881591094522,134.311337659329,33.8504950495103,245.28704606186,349.123401028806,111.785831797068,187.362181857642,51.2204537281308,101.588775580635,57.6837362872609,8.3383194398291,115.407703421646
1989,60.5850261596238,200.848196125142,175.264097436588,24.32664265322,246.559443107853,306.406864377991,119.654957120449,185.263702504236,55.1126966566622,90.5734693596558,78.1193251050497,12.6993118302397,130.463384688984
1990,36.0424150045321,203.816466251876,143.320387872711,26.717911800777,227.949273704364,310.043213808918,83.6904837672418,173.222743827853,44.0390779449091,65.8969387269142,43.410836654832,11.498985871884,110.258545992355
1991,31.5925094372555,177.292830715016,109.726006961207,15.8943294297055,201.899515762745,282.13478940451,102.138286008008,164.31388430453,27.0312477339712,44.8418367605428,52.9910419052203,12.9022697005931,77.1532739578788
1992,16.2836239417353,175.762673475365,111.731476882955,23.3999999947879,233.39612603929,287.624493005704,79.7011408914545,157.447008268262,29.0085254272523,39.8020408384654,36.5314837208591,2.99762766020757,70.0415984284838
1993,22.4121113114581,189.888390405919,143.098160143132,20.2989199031966,229.872276092232,290.623557095688,93.7467497946021,161.430942171103,59.174204181554,92.1438774442186,54.881335861482,11.7739526642239,125.615912404602
1994,54.7853894156599,214.747086064626,153.48741924819,15.2333933502758,270.904963697489,354.539313529983,123.032873436681,190.851999991965,44.3563849219157,90.6367348362597,53.653452758961,35.4732947021095,123.245402045186
1995,65.9316695751847,233.416790036817,174.011785221316,26.7958595887108,290.817675562842,355.752106077028,123.752065091163,208.525223184706,65.9948408536387,104.247959202041,62.0687423869825,30.2738983335773,143.106427532617
1996,21.675850040743,166.341905661017,115.826852322188,25.3156615816238,198.58159810983,278.429173220385,100.26458831506,163.347438041573,42.410611065412,89.0551020004311,33.2397808161512,15.1037063756576,112.934857994444
1997,59.8532548821657,234.627335805642,172.75136753547,30.0585958544705,275.616585929118,331.727144993133,119.393517290555,206.263140525414,50.4582876069584,114.190816609987,80.6091494133333,36.6850899469418,120.434400593583
1998,51.8947181142022,221.856891789569,145.185629084892,30.7612961555364,260.614648965853,340.158814413546,106.49364109736,208.442082634036,66.3135382323541,85.2469388611463,65.9473995281279,45.1447120522688,122.413360660828
1999,45.4134481257275,268.251156403257,192.357831940951,31.0557155776517,330.946247063559,426.421529000477,136.620438669813,251.170776877994,57.2422246421339,110.673469345484,84.1149938883178,23.6520101324782,152.309436684488
