"Adrar","Assaba","Brakna","Dakhlet.Nouadhibou","Gorgol","Guidimaka","Hodh.ech.Chargui","Hodh.el.Gharbi","Inchiri","Nouakchott","Tagant","Tiris.Zemmour","Trarza"
1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,1,1,1,1,1,1,1,1,1,0,1
0,1,0,1,0,0,1,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0,0,1,1,1,0
1,1,1,1,1,1,0,1,1,1,0,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0
